title,company,expected,link,project,level,work mode,salary,salary_for,city,ukrainian_people
"Specjalista do spraw: analiz i prognoz w Wydziale Analiz Fiskalnych, Departament Polityki Makroekonomicznej",Ministerstwo Finansów,,"https://www.pracuj.pl/praca/specjalista-do-spraw-analiz-i-prognoz-w-wydziale-analiz-fiskalnych-departament-p-warszawa-swietokrzyska-12,oferta,1003706750",,specjalista (Mid / Regular),praca stacjonarna,,,Warszawa,False
Senior Data Scientist / AI Engineer,Robert Bosch Sp. z o.o.,Python,"https://www.pracuj.pl/praca/senior-data-scientist-ai-engineer-warszawa-jutrzenki-105,oferta,1003702821","We are seeking a highly skilled and experienced Senior Data Scientist / AI Engineer to join our team. As a Senior Data Scientist / AI Engineer, you will be responsible for developing and implementing cutting-edge solutions using Python, Machine Learning, LLMs, and classical NLP methodologies. You will work closely with our team of experts to analyze data, build models, and create innovative (Gen)AI solutions.",senior specialist (Senior),hybrid work,,,Warszawa,True
Senior Marketing Mix Modelling Analyst with SQL (all genders),Zooplus Polska Sp. Z.o.o.,,"https://www.pracuj.pl/praca/senior-marketing-mix-modelling-analyst-with-sql-all-genders-krakow,oferta,1003696930",,starszy specjalista (Senior),praca hybrydowa,,,,False
Tester Automatyzujący,TU EUROPA SA,"Playwright,Cypress,Postman API","https://www.pracuj.pl/praca/tester-automatyzujacy-wroclaw-generala-wladyslawa-sikorskiego-26,oferta,1003693902",,specjalista (Mid / Regular),"praca zdalna, praca hybrydowa",,,Wrocław,False
Senior Software Engineer (React+Python) - Smart City,INCUBLY SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,"TypeScript,React.js,Python,Flask,Kubernetes","https://www.pracuj.pl/praca/senior-software-engineer-react%2bpython-smart-city-lodz-dowborczykow-30,oferta,1003689650","We are currently working with a French company that is a world leader in end-to-end smart mobility and mobility management, including innovative parking solutions, EV charging, mobility management, and more. A Street Smart hub is a Mobility-as-a-service solution that municipalities can offer to their citizens and visitors, giving them a unified and highly customizable user experience of on-street and off-street parking, EV charging, curbside management, and transportation through different sales channels, like mobile applications or on-street terminals.,If you like to work with us, let us share our need for the competencies - we are looking for a Software Developer.,Our Architecture and Technology Stack,•	Apache Superset (React, Flask),•	Apache Druid,•	Kubernetes, Helm Charts,•	Argo Workflows, ArgoCD,•	Robot Framework,•	Apache Kafka, Apache Airflow (data ingestion pipelines),•	.NET, NodeJS, React, Flutter (operational services),•	Postgres, ElasticSearch (operational databases)",senior specialist (Senior),hybrid work,18000–23000,gross / mth.,Łódź,True
Informatyk - Młodszy Specjalista HelpDesk,Alfavox Sp. z o.o.,,"https://www.pracuj.pl/praca/informatyk-mlodszy-specjalista-helpdesk-poznan,oferta,1003693956",,młodszy specjalista (Junior),praca stacjonarna,,,,False
Junior Rust Developer,BLOCKWISE SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,"Rust,Python,Linux","https://www.pracuj.pl/praca/junior-rust-developer-warszawa-polczynska-112a,oferta,1003682285",Jako Junior Developer/ka będziesz odpowiedzialny/a za rozwijanie aplikacji opartych na technologii blockchain i WEB3.,młodszy specjalista (Junior),praca stacjonarna,6000–10000,netto (+ VAT) / mies.,Warszawa,False
Analyst Model Risk Management (Retail Front Office Model),HSBC Service Delivery (Polska) Sp. z o.o.,"Python,R,SAS","https://www.pracuj.pl/praca/analyst-model-risk-management-retail-front-office-model-krakow-kapelanka-42a,oferta,1003704877",,assistant,hybrid work,,,Kraków,True
Programista / Programistka,TABELAOFERT.PL sp. z o.o.,"PHP,Laravel,JavaScript,React.js,nextjs,Git","https://www.pracuj.pl/praca/programista-programistka-tarnowskie-gory,oferta,1003715540",,specjalista (Mid / Regular),"praca zdalna, praca hybrydowa",,,,False
Atlassian Engineer,G2A.COM Sp. z.o.o.,"Groovy,Jira","https://www.pracuj.pl/praca/atlassian-engineer-rzeszow,oferta,1003679816",,specialist (Mid / Regular),"home office work, hybrid work",,,,False
Cloud DevOps Engineer - One Portal Team,T-Mobile,"AWS,GitLab CI/CD,Jenkins,Terraform,Python,Bash,PowerShell,DevOps,GitOps","https://www.pracuj.pl/praca/cloud-devops-engineer-one-portal-team-warszawa-marynarska-12,oferta,1003710593","Do rozwijającego się zespołu aplikacji poszukujemy doświadczonego inżyniera DevOps na poziomie Senior, który będzie odpowiedzialny za projektowanie, wdrażanie i utrzymanie platformy do wdrożeń w środowisku chmurowym AWS. Poszukujemy osoby, która posiada bogate doświadczenie w pracy z infrastrukturą chmurową, dobrą znajomość narzędzi i praktyk DevOps. Umiejętność mentorowania młodszych stażem członków zespołu będzie dodatkowym atutem. Oferujemy inspirujący projekt na poziomie europejskim, możliwość rozwoju zawodowego oraz pracę w dynamicznym i innowacyjnym środowisku.","specjalista (Mid / Regular), starszy specjalista (Senior)","praca zdalna, praca hybrydowa",,,Warszawa,True
Senior DevOps Engineer,BRAVER IT SPÓŁKA AKCYJNA,"AWS,Microsoft Azure,Google Cloud Platform,Terraform,Kubernetes,Bash,Python","https://www.pracuj.pl/praca/senior-devops-engineer-krakow,oferta,1003722598",,senior specialist (Senior),home office work,27000–38000,net (+ VAT) / mth.,,False
Senior DevOps Engineer,YOUR ITEAMS sp. z o.o.,"Kubernetes,AWS,Python,GitLab","https://www.pracuj.pl/praca/senior-devops-engineer-warszawa,oferta,1003722414","We are looking for experienced DevOps Engineer who will support our client and his global project.,•	100% remote work,•	Full time, long-term cooperation,•	Project overview: On prem cloud solutions migration to the AWS Cloud (more then 200 applications).,•	Recruitment process: 2 technical interviews",senior specialist (Senior),home office work,"160,00–190,00",net (+ VAT) / hr.,,False
Junior Trader,ZELH POLAND sp. z o.o.,,"https://www.pracuj.pl/praca/junior-trader-warszawa-aleje-jerozolimskie-181-b,oferta,1003683600",,junior specialist (Junior),full office work,,,Warszawa,False
Programista FPGA,CREOTECH INSTRUMENTS S.A.,,"https://www.pracuj.pl/praca/programista-fpga-warszawa-osmanska-14,oferta,1003709049",,specjalista (Mid / Regular),praca hybrydowa,,,Warszawa,False
Manager – Treasury Analytics,HSBC Service Delivery (Polska) Sp. z o.o.,,"https://www.pracuj.pl/praca/manager-treasury-analytics-krakow-kapelanka-42a,oferta,1003694214",,manager / supervisor,hybrid work,,,Kraków,True
Risk Modeller for ALM Models,ING Hubs Poland,"Python,R","https://www.pracuj.pl/praca/risk-modeller-for-alm-models-warszawa-zajecza-4,oferta,1003714046",,specialist (Mid / Regular),hybrid work,,,Warszawa,False
Senior Fullstack Developer,CPL Jobs .,"React.js,Angular.js,Flutter,React Native,Node.js,Java,Python,Spring Framework,Spring Boot,Git","https://www.pracuj.pl/praca/senior-fullstack-developer-warszawa,oferta,1003712107",our client from the telecommunication sector - long-term hybrid (Warsaw) cooperation based on a B2B contract,senior specialist (Senior),hybrid work,"170,00–200,00",net (+ VAT) / hr.,,False
Azure Databricks Developer,emagine dla Konsultantów IT,"Azure cloud,CI/CD pipelines,Terraform,Python,Azure Databricks","https://www.pracuj.pl/praca/azure-databricks-developer-warszawa,oferta,1003696115","ndustry: Pharmaceutical,Remote work: Remote (business trips to Denmark 2-3 times a year + visiting Warsaw’s office for 1-2 days/ 2-3 times a year),Onboarding: 2 weeks in Copenhagen,Assignment type: B2B,Start: ASAP,Project language: English,We’re looking for experienced Azure Databricks Developers to help us develop and guide our cloud solutions. You’ll be a part of Business Intelligence, Data Management & Analytics (BIDMA), where we focus on high value creation and innovation. Join us in our mission to #BringDataToLife,As a Lead Azure Databricks Developer, you will play a central role in defining and implementing scalable solutions for our business areas, helping us extend our existing platform into the Azure environment. You’ll be working closely with our colleagues in the Development organisation to implement a new Azure Databricks data platform where the focus is both, developing, operating and scaling the platform for wide usage. You will be part of the core platform team anchored in our Development organisation.","specialist (Mid / Regular), senior specialist (Senior)",home office work,,,,False
Frontend Developer (React / JS),OPTeam SA,,"https://www.pracuj.pl/praca/frontend-developer-react-js-tajecina-pow-rzeszowski-113,oferta,1003712521",,"specjalista (Mid / Regular), starszy specjalista (Senior)","praca stacjonarna, praca hybrydowa",,,Tajęcina (pow. rzeszowski),False
Senior Embedded Software Engineer,Medicalgorithmics S.A.,"C,Git,Linux,Bare metal,FreeRTOS,Toolchain GNU,Make,Cmake","https://www.pracuj.pl/praca/senior-embedded-software-engineer-warszawa-aleje-jerozolimskie-81,oferta,1003719576","W skład zespołu ARMia, z którym będziesz współpracować, wchodzą doświadczeni developerzy embedded i inżynierowie elektronicy oraz tester.,Na co dzień zespół zajmuje się projektowaniem i wdrażaniem do produkcji wyrobów medycznych, integrujących zwykle kilka systemów mikroprocesorowych, moduły radiowe (LTE, WiFi, Bluetooth, NFC), jak i dedykowane rozwiązania z dziedziny układów analogowych. Opracowuje również nieszablonowe testery i programatory, wykorzystywane podczas produkcji naszych wyrobów. Każdego dnia stara się podchodzić zwinnie do realizowanych projektów oraz dostrzegać korzyści, jakie niesie za sobą praca w samoorganizujących się zespołach.",starszy specjalista (Senior),praca hybrydowa,,,Warszawa,False
